Class,Term,Credits
HIST 192,F,4
MATH 111,F,4
MUS 263,F,4
CS 122,W,4
DSCI 101,"F, W, S",4
GEOG 181,W,4
WR 121,W,4
DSCI 102,"W, S",4
MATH 112,S,4
LING 150,S,4
WR 123,S,4
CS 210,F,4
MATH 251,F,4
J 201,F,4
PHIL 123,F,4
CS 211,W,4
MATH 252,W,4
GEOG 481,W,4
MUS 227,W,4
CS 212,"F, S",4
GEOG 399L,S,4
MUS 380,"F, W, S",4
GEOG 281,"F, W, S",4
CS 314,"F, W, S",4
MATH 341,"F, W",4
GEOG 485,F,4
CS 333,W,4
MATH 342,"W, S",4
GEOG 381,W,4
PHIL 223,W,4
CS 322,"W, S",4
DSCI 345,"F, S",4
DSCI 311,F,4
GEOG 498,F,4
DSCI 372,W,4
GEOG 493,W,4
GEOG 490,S,4
